"ISBN";"nb.Ratings";"mean";"sd";"max";"min";"med"
"385474547";13;7.31;1.25;9;5;8
"385475721";19;7.11;1.56;10;5;7
"385475772";10;8.1;1.52;10;5;8
"385479565";33;8.12;1.47;10;5;8
"385480016";8;7.38;2.07;10;5;8
"385482388";18;7.39;1.14;9;5;7.5
"385484518";92;8.7;1.75;10;1;9
"385486804";47;8.13;1.38;10;5;8
"385490445";25;8.4;1.26;10;5;8
"385490992";31;7.29;1.74;10;5;7
"385492081";53;8.38;1.39;10;5;9
"385493800";28;7.21;1.95;10;3;8
"385494246";19;7.26;1.73;10;3;8
"385496095";16;8.19;1.97;10;4;8.5
"385497466";32;7.12;2.17;10;3;7.5
"385498721";17;8.29;1.69;10;3;8
"385498802";34;7.82;1.36;10;4;8
"385502532";24;7.62;1.5;10;4;8
"385503822";50;7.56;1.82;10;4;7.5
"385503857";16;8.69;1.2;10;6;9
"385503954";24;8;1.59;10;5;8
"385504209";244;8.46;1.63;10;1;9
"385504470";13;8.69;1.03;10;7;9
"385505833";62;7.42;1.71;10;4;7.5
"385507593";16;8.06;1.18;10;6;8
"385508042";44;7.7;1.56;10;5;8
"385508417";19;7.37;2.03;10;4;8
"385509456";15;8.2;1.86;10;4;9
"385509510";17;7.76;1.89;10;3;8
"385510438";37;8.43;1.42;10;5;8
"385511612";43;7.07;2;10;3;8
"385512104";25;8.36;1.35;10;5;8
"385720106";49;6.9;1.46;10;4;7
"385720467";12;6.08;1.98;8;2;7
"385720920";20;7.85;1.46;10;5;8
"385720955";29;7.34;1.82;10;3;7
"385721420";25;7.36;1.93;10;1;8
"385722192";17;7.71;2.02;10;2;8
"385722206";66;8.23;1.2;10;5;8
"385722435";23;8.43;0.99;10;7;9
"385729332";23;8.04;1.52;10;5;8
"385729340";18;9.11;0.9;10;8;9
"385730586";38;8.47;1.47;10;5;8.5
"393050939";16;9;1.03;10;7;9
"393312836";18;8.5;1.95;10;3;9
"393317552";17;8.24;1.99;10;4;9
"393319296";22;7.55;1.92;10;3;7.5
"394404289";12;9.08;1.51;10;5;10
"394758285";12;8.67;0.98;10;7;8.5
"394800168";14;9.36;1.39;10;5;10
"394820371";21;8.14;1.93;10;5;9
"395083567";12;8.58;1.51;10;5;9
"395977894";9;8.44;1.59;10;5;8
"399133143";17;7.06;1.85;10;5;7
"399141146";19;7.58;2.34;10;2;8
"399141464";15;7.4;1.45;9;5;8
"399142282";17;6.59;2.43;10;2;7
"399142789";11;8.27;2.1;10;5;9
"399142851";19;7.95;1.61;10;4;9
"399143947";22;8;1.63;10;5;8
"399144463";43;7.26;2.47;10;2;8
"399145087";20;7.75;1.33;10;5;8
"399145672";15;7.33;1.4;10;5;7
"399145885";10;8;1.49;10;5;8
"399145923";10;8.4;1.58;10;6;8
"399145990";14;7.93;1;10;7;8
"399146008";13;7.31;1.7;9;4;8
"399146253";19;7.79;1.51;10;5;8
"399146431";26;7.81;1.44;10;3;8
"399147128";9;8.22;1.56;10;5;8
"399147195";28;8.04;1.53;10;5;8
"399147284";12;7.67;1.72;10;4;8
"399148027";18;7.78;1.4;10;4;8
"399148248";6;7.83;1.94;10;5;8.5
"399148639";12;7.75;1.6;10;5;8
"399149155";33;8.24;1.44;10;5;8
"399149325";26;6.65;1.96;10;3;6.5
"399149392";12;8.67;1.5;10;5;8.5
"399149848";19;8.53;1.95;10;4;10
"399150439";15;8.73;1.16;10;7;9
"399150897";35;7.23;1.93;10;3;8
"399151648";11;8.27;1.49;10;6;8
"399501487";71;7.96;1.63;10;3;8
"413537900";17;8.35;1.41;10;5;8
"425083837";28;8.54;1.17;10;6;9
"425092917";19;7.74;1.88;10;3;8
"425097609";11;7.73;1.79;10;5;8
"425097722";16;7.88;1.31;10;5;8
"425101452";11;8.09;1.81;10;5;8
"425104346";14;8.43;1.6;10;6;8.5
"425105334";16;8.69;1.45;10;5;9
"425107469";31;8.23;1.43;10;5;8
"425109720";29;8.14;1.43;10;5;8
"425113884";15;7.73;1.71;10;5;8
"425115801";22;8.09;1.51;10;5;8
"425116840";22;7.45;1.68;10;5;8
"425118703";17;7.94;1.25;10;5;8
"425119653";18;6.78;1.96;10;1;7
"425120279";12;7.92;1.88;10;5;8
"425121259";20;7.6;1.47;10;5;8
"425121631";15;7.47;1.92;10;3;8
"425122123";24;7.83;1.31;10;5;8
"425124347";24;7.83;1.43;10;5;8
"425128164";23;7.09;2.13;10;2;7
"425129586";15;8.27;1.44;10;6;8
"425130215";10;8.2;1.48;10;5;8
"425130711";16;7;1.63;10;5;7
"425132048";18;8.11;1.23;10;5;8
"425132951";20;6.95;1.88;10;4;7
"425133516";17;8.06;1.48;10;5;8
"425133540";18;7.33;2.17;10;1;8
"425136981";23;7.35;2.06;10;1;8
"425137562";15;7.73;1.16;10;5;8
"425140032";20;7.15;2.01;10;2;7.5
"425141233";11;8.09;1.81;10;5;8
"425142485";19;6.89;2.4;10;3;7
"425143325";29;7.93;1.51;10;5;8
"425144429";30;7.23;1.74;10;4;7
"425145638";10;7.6;1.65;10;5;8
"425146413";14;8.07;1.59;10;5;8
"425147363";15;7;1.69;9;4;7
"425147517";16;7.69;1.54;10;5;7
"425147584";27;7.04;1.87;10;3;7
"425147622";51;8.06;1.61;10;5;8
"425148297";14;7.57;2.95;10;1;8
"425150143";16;6.5;1.59;10;4;6.5
"425150984";15;8.4;1.76;10;4;8
"425151867";19;7.05;1.84;10;5;7
"425151875";12;6.5;1.93;10;4;6
"425152251";43;7.33;2.16;10;3;8
"425152898";12;7.67;2.15;10;5;8.5
"425153975";25;8.2;1.22;10;6;8
"425154092";59;7.8;1.64;10;3;8
"425155404";22;6.95;1.99;10;4;7
"425155943";14;7.71;1.07;9;5;8
"425158594";17;6.47;2.35;10;3;7
"425158616";30;7.83;1.46;10;5;8
"425158632";14;7.71;1.86;10;4;8
"425158640";13;7.69;1.55;10;4;8
"425161242";16;7.62;2.09;10;2;8
"425161722";12;6.33;1.61;9;4;6
"425162443";31;7.71;1.27;10;5;8
"425162788";10;6.3;1.49;9;4;6
"425163385";18;7.56;1.5;10;5;7
"425163407";45;7.87;1.69;10;4;8
"425166619";16;7.75;1.95;10;3;8
"425167313";42;7.24;2.13;10;1;8
"425167720";11;6.64;1.8;10;4;7
"425168298";13;7.77;1.09;10;6;8
"425169693";18;7.56;1.58;10;5;8
"425169863";28;7.93;1.51;10;4;8
"425170349";22;7.73;1.75;10;5;8
"425172546";24;6.5;2.15;10;1;7
"425172996";9;6.89;1.45;9;5;7
"425174271";17;7.53;1.46;10;5;7
"425175405";43;7.63;1.36;10;5;8
"425177173";25;7.16;1.75;10;3;7
"425178102";13;8.15;1.46;10;5;8
"425178579";15;7.47;1.88;10;5;8
"425178765";23;7.3;1.99;10;1;8
"425178951";14;7.64;1.22;9;5;8
"425179613";14;7.93;1.44;10;5;8
"425179672";17;7.12;1.93;10;2;7
"425179885";22;6.91;1.57;10;4;7
"425180638";44;7.39;1.66;10;5;7.5
"425180964";24;7.83;1.99;10;1;8
"425181103";18;8;1.94;10;2;8
"425181111";11;8;1.61;10;5;8
"425181464";18;7.67;1.68;10;5;8
"425181685";15;7.6;2.03;10;4;8
"425182878";32;7.66;1.41;10;5;8
"425182886";13;7.77;1.36;10;5;8
"425182908";41;5.07;2.23;10;1;5
"425183971";25;8.08;1.89;10;4;8
"425184129";11;7.36;1.5;10;5;7
"425184226";15;7.73;1.33;10;5;8
"425184943";11;6.73;1.85;9;4;7
"425185710";21;7.19;1.94;9;3;8
"425188787";15;7.6;1.59;10;4;8
"425189031";16;7.31;2.12;10;5;7
"425189864";14;7.93;1.38;10;5;8
"425190641";11;7.55;2.07;10;4;8
"425191184";14;6.43;2.1;10;3;6.5
"425191583";15;8.07;2.05;10;5;9
"425192725";29;7.41;1.57;10;5;7
"425192733";20;5.6;2.64;10;1;6.5
"439064864";73;8.88;1.34;10;5;9
"439064872";104;8.78;1.29;10;5;9
"439136350";76;9.05;1.32;10;5;10
"439136369";73;8.99;1.41;10;5;10
"439139597";89;9.22;1.27;10;3;10
"439139600";51;9.04;1.4;10;5;10
"439404371";19;8.26;1.48;10;5;8
"439425220";15;9.87;0.35;10;9;10
"440108268";19;7.47;2.37;10;2;8
"440111811";16;7.44;1.82;10;5;7.5
"440122090";19;8.26;1.69;10;4;9
"440127793";19;7.53;1.71;10;5;7
"440131480";7;8.43;1.81;10;6;9
"440178002";15;8.6;1.68;10;5;9
"440180295";38;8.29;1.54;10;4;8
"440200563";11;6.73;1.68;9;5;6
"440200989";19;7.74;2.1;10;2;8
"440201926";15;7.4;1.72;10;5;7
"440202043";17;8.76;1.56;10;4;9
"440204194";16;7.69;1.45;10;5;8
"440204208";11;6.82;1.72;10;4;7
"440204887";20;8.6;1.82;10;5;9.5
"440206154";75;8.09;1.52;10;4;8
"440207770";13;6.77;1.64;10;3;7
"440211263";36;7.97;1.66;10;5;8
"440211727";99;7.84;1.78;10;2;8
"440212359";14;7.14;1.66;10;3;7.5
"440212561";46;8.57;2.12;10;1;9
"440213029";11;7.45;1.21;10;6;8
"440213282";9;8.33;0.87;10;7;8
"440213290";18;7.33;1.37;10;5;7.5
"440213525";83;7.65;1.56;10;5;8
"440214041";91;7.77;1.65;10;4;8
"440215625";38;8.53;1.84;10;2;9
"440216745";11;7.09;1.87;10;5;7
"440217490";13;7.62;1.66;10;5;8
"440217520";16;7.44;2.03;10;3;8
"440217547";18;7.28;1.81;10;5;7
"440217563";27;9.04;1.22;10;5;9
"440218535";14;7.79;1.25;10;5;8
"440219078";33;8.7;1.49;10;5;9
"440220424";11;8.55;1.37;10;5;9
"440220602";73;7.4;1.82;10;2;8
"440220653";14;7.93;1.59;10;5;8
"440221099";11;7.45;1.51;10;5;8
"440221315";13;7.85;1.63;10;5;8
"440221471";74;7.8;1.6;10;4;8
"440221595";28;7.89;1.73;10;2;8
"440222028";6;7.5;2.35;9;3;8.5
"440222656";71;7.46;1.96;10;1;8
"440223202";28;8.5;1.32;10;5;9
"440224594";24;7.08;1.91;10;3;7.5
"440224624";23;7.09;1.53;10;5;7
"440224675";50;7.1;2.21;10;1;7.5
"440224705";19;6.68;1.57;9;3;7
"440224764";69;7.7;1.64;10;5;8
"440224780";15;8.13;1.85;10;5;8
"440224837";11;7.91;2.12;10;4;8
"440224853";13;7.62;2.02;10;4;8
"440225299";17;6.88;1.73;9;4;7
"440225701";65;7.38;1.79;10;3;8
"440225817";12;7.08;1.62;10;5;7
"440225825";11;7.73;1.56;10;5;8
"440226104";39;7.15;2.07;10;2;7
"440226430";91;7.53;1.72;10;3;8
"440234743";82;7.72;1.7;10;3;8
"440235162";33;7.76;1.62;10;5;8
"440235502";10;8.5;1.51;10;5;9
"440235596";38;7.53;1.62;10;4;8
"440236053";14;7.14;1.96;9;4;8
"440236061";11;7.36;1.21;9;5;7
"440236169";16;7.44;2.39;10;2;8
"440236673";73;7.64;1.52;10;4;8
"440236703";34;7.91;1.54;10;3;8
"440236738";23;7.91;2.11;10;2;9
"440236819";10;7.5;1.51;9;5;8
"440237262";10;7.8;1.69;10;5;8.5
"440237688";16;8.81;1.33;10;6;9
"440241073";82;7.34;1.74;10;3;8
"440241162";21;7.14;2.29;10;1;8
"440241413";26;7.65;1.96;10;3;8
"440241537";48;7.62;1.85;10;2;8
"440343194";14;9.07;1.54;10;5;10
"440404193";17;8.82;1.63;10;5;9
"440414806";39;8.69;1.44;10;5;9
"440418321";14;9.07;0.92;10;8;9
"440439884";19;8.11;1.85;10;5;9
"440487617";16;8.69;1.35;10;5;9
"440498058";37;9.16;1.21;10;5;10
"440514428";12;8.08;1.38;10;5;8.5
"440940001";24;8.67;1.43;10;5;9
"440967694";16;8.25;1.39;10;6;8
"440998050";40;8.45;2.11;10;1;9
"441000916";20;8;1.62;10;5;8
"441001971";21;8.43;1.03;10;7;8
"441002935";22;8.23;1.48;10;5;8
"441003257";37;8.22;1.44;10;5;8
"441003745";17;8.35;1.46;10;5;9
"441004520";23;8.13;1.32;10;5;8
"441005241";22;8.14;1.39;10;5;8
"441005489";21;7.81;1.57;10;5;8
"441005748";14;8;1.66;10;5;8.5
"441008534";18;8;1.24;10;5;8
"441009239";14;8;1.47;10;5;8
"441010512";16;8.25;1.06;10;6;8
"441172695";17;8.53;1.01;10;6;8
"441172717";35;8.74;1.77;10;3;9
"441304834";30;7.1;2.25;10;2;7
"441569595";42;7.81;2.06;10;1;8
"441627404";12;7.92;2.35;10;4;9
"441783589";11;7.09;1.76;10;4;8
"441790348";31;8.29;1.66;10;4;9
"445406518";16;7.62;1.5;10;5;8
"446310786";101;9.07;1.43;10;4;10
"446322180";14;7.57;1.79;10;5;8
"446343455";16;7.19;2.17;10;3;8
"446350109";13;6.46;1.66;10;5;6
"446350982";13;8;1.87;10;5;9
"446359866";35;7.57;1.84;10;3;8
"446360589";18;6.89;1.28;10;5;7
"446360856";8;7.62;1.51;10;6;7
"446363251";18;6.83;2.07;10;2;7
"446364193";58;8.14;1.54;10;4;8
"446364495";13;8;1.58;10;4;8
"446364800";25;8.08;1.68;10;5;8
"446365386";27;8.85;1.46;10;5;9
"446387878";11;7.82;1.25;10;6;8
"446391301";19;8.32;1.45;10;4;8
"446394521";32;7.69;1.69;10;3;8
"446515078";15;6.8;2.11;10;1;7
"446516538";24;6.29;2.18;10;2;6
"446518581";12;5.75;2.22;10;3;5.5
"446519081";16;6.12;2.8;10;2;5.5
"446519138";28;7.89;1.75;10;5;8
"446520802";29;8.1;1.68;10;5;8
"446523569";15;8.8;1.37;10;6;9
"446525502";16;8.81;1.56;10;5;9.5
"446525537";22;7.68;1.91;10;3;8
"446525731";13;7.77;1.42;10;5;8
"446525804";12;7.5;2.02;10;4;8
"446527017";14;5.93;3.02;10;1;7.5
"446527033";21;7.1;1.67;10;5;7
"446527041";9;7.22;0.97;8;5;7
"446527165";15;8.2;1.82;10;4;9
"446527785";20;7;1.62;10;4;7
"446527793";19;8.21;2.02;10;2;8
"446530077";20;7.1;1.77;10;4;7.5
"446530387";7;7.86;1.35;10;6;8
"446530522";14;8.64;1.08;10;6;9
"446530891";15;7.73;1.33;10;6;8
"446531332";32;7.78;1.68;10;5;8
"446532231";56;8.38;1.41;10;5;8
"446532452";18;8.28;2.3;10;3;9
"446600253";12;8.33;1.78;10;4;8.5
"446600660";17;7.94;1.2;10;5;8
"446601241";44;8.2;1.44;10;5;8
"446602612";19;7.84;1.98;10;4;8
"446602620";21;7.9;1.79;10;5;8
"446603422";14;7.57;1.4;10;5;8
"446603589";22;8.05;1.5;10;5;8
"446603716";25;7.28;2.25;10;1;8
"446603929";17;6.47;2.27;10;1;7
"446604089";10;6.8;1.62;9;5;6.5
"446604232";12;7.25;1.86;10;5;7
"446604658";20;7.5;1.54;10;4;7.5
"446604666";33;8.27;1.51;10;5;8
"446604801";33;7.73;1.38;10;5;8
"446604844";27;7.41;1.65;10;4;8
"446605239";82;7.85;2.23;10;2;8.5
"446605409";23;7.78;1.51;10;4;8
"446605484";42;8.21;1.51;10;5;8
"446606189";34;8.38;1.33;10;4;8.5
"446606324";29;7.55;1.72;10;5;8
"446606383";18;7.44;1.62;10;4;8
"446606812";53;7.94;2.02;10;3;8
"446607193";24;7.62;1.5;10;5;8
"446607207";10;7.7;1.64;10;5;7.5
"446607657";52;7.67;1.95;10;1;8
"446607711";27;7.07;1.77;10;4;8
"446608262";13;8.62;1.45;10;5;9
"446608602";12;6.92;2.02;10;2;7.5
"446608815";37;7.49;1.8;10;2;8
"446608890";24;7.75;1.65;10;5;8
"446608955";63;7.63;2.05;10;3;8
"446609323";24;7.08;1.69;10;4;7
"446609404";28;7.68;1.98;10;3;8
"446609943";13;7.23;1.59;9;3;8
"446610038";81;7.86;1.71;10;3;8
"446610100";29;8.1;1.4;10;5;8
"446610178";10;6.7;2.5;10;1;7
"446610399";46;7.28;1.86;10;3;7
"446610542";26;7.38;1.86;10;3;7.5
"446611085";30;8;1.84;10;5;8.5
"446611212";52;7.94;1.53;10;4;8
"446611239";15;7.93;1.91;10;3;8
"446611611";16;8.06;0.85;10;6;8
"446611638";17;7.76;1.3;10;5;8
"446611778";22;8.18;1.74;10;4;8.5
"446611808";26;8;1.7;10;5;8
"446611867";46;7.48;2.05;10;1;8
"446611913";16;8.44;1.41;10;5;8.5
"446611921";12;7.42;1.68;10;5;7
"446612545";47;7.7;1.56;10;3;8
"446612790";50;7.62;1.69;10;3;8
"446613266";25;8.16;1.49;10;5;8
"446613436";15;7.53;1.55;10;5;7
"446613843";11;7.27;1.79;10;3;7
"446667900";22;7;1.54;9;5;7
"446670111";23;7.83;1.77;10;5;8
"446670251";51;7.69;1.69;10;3;8
"446671002";15;6.07;2.4;10;2;6
"446672211";139;8.2;1.41;10;4;8
"446673544";28;6.57;2.39;10;1;7
"446675059";33;8.27;1.4;10;5;8
"446676098";13;8.15;2.23;10;3;8
"446677450";22;8.36;1.89;10;3;9
"446678457";12;7.83;1.47;10;5;8
"446679364";21;7.95;1.02;10;6;8
"446679593";32;7.72;2.26;10;2;8
"448095017";10;7.4;1.84;10;5;8
"449002411";13;7.38;1.61;10;4;7
"449002632";14;7.86;1.41;10;5;8
"449003787";36;7.22;1.73;10;5;7
"449003795";36;7.14;1.53;10;3;7
"449003981";10;8.5;0.71;9;7;9
"449005615";49;8.84;1.42;10;4;9
"449005909";13;8.31;1.32;10;7;8
"449006522";28;7.71;1.38;10;5;8
"449006530";16;7.5;2.42;10;3;7.5
"449134482";12;6.92;1.44;9;4;7
"449149676";13;7.85;2.38;10;1;9
"449203794";17;7.71;1.72;10;5;8
"449204324";10;7.6;0.84;9;7;7
"449208672";11;7.64;1.75;10;4;8
"449212602";49;8.53;1.44;10;4;9
"449213447";17;8.29;1.45;10;5;8
"449213943";13;8.69;1.18;10;7;8
"449219364";41;8.1;1.28;10;5;8
"449219410";12;8.08;1.56;10;5;8.5
"449219461";30;7.6;1.16;10;5;8
"449221180";7;8.29;0.76;10;8;8
"449221482";31;8.26;1.24;10;5;8
"449221490";30;7.53;1.98;10;4;8
"449221504";23;7.61;1.53;10;4;8
"449221512";31;7.45;1.48;10;4;8
"449223604";26;8.04;1.18;10;5;8
"449223612";34;7.56;1.6;10;5;7.5
"449227421";13;7.15;2.23;10;3;8
"449907481";33;7.67;1.73;10;3;8
"449910237";8;6.88;1.55;9;4;7
"449910571";12;7.08;2.57;10;2;7.5
"449911004";15;7.47;1.77;10;5;8
"449911446";14;8.14;1.17;10;6;8
"449911519";28;8.82;1.16;10;6;9
"449912558";23;8.26;2.34;10;1;9
"451124340";15;8.73;1.03;10;7;9
"451132378";17;8.29;1.76;10;3;8
"451137965";24;7.58;1.53;10;4;8
"451142934";23;8.52;1.04;10;7;8
"451151259";16;8.25;1.13;10;7;8
"451153553";25;8.32;1.55;10;5;9
"451155750";17;7.53;1.33;10;6;7
"451156609";43;7.05;1.91;10;2;7
"451157443";16;7.06;1.77;10;4;8
"451160525";32;8.31;1.42;10;5;8
"451160916";9;7.78;0.83;9;6;8
"451161343";16;7.75;1.65;10;5;8
"451161351";24;7.46;1.79;10;4;8
"451162072";15;7.93;1.49;10;6;8
"451163524";25;8.36;1.66;10;5;9
"451163966";31;8.52;1.39;10;4;9
"451166582";22;8.32;1.49;10;5;9
"451166892";36;8.39;1.61;10;3;8.5
"451167317";43;7.53;1.75;10;3;8
"451167538";14;7.57;1.79;10;5;8
"451167716";23;8.83;0.94;10;7;9
"451167805";22;7.68;1.36;10;5;7.5
"451168615";18;7.83;1.47;10;5;8
"451169514";20;8.2;1.88;10;4;9
"451169522";27;7.89;1.74;10;4;8
"451169530";41;8.71;1.89;10;4;10
"451170385";25;7.92;1.73;10;4;8
"451172817";42;8.36;1.46;10;5;8
"451173139";14;7.07;2.09;10;4;7
"451173317";18;8.44;1.5;10;5;9
"451176464";33;7.61;1.77;10;4;8
"451177096";27;7.78;1.34;10;5;8
"451180232";28;8.07;1.68;10;5;8
"451180410";15;6.93;1.75;9;3;7
"451180429";10;6.8;2.1;10;5;6
"451181379";21;7.71;1.76;10;5;8
"451183665";31;6.97;1.8;10;3;7
"451184718";13;7.62;2.18;10;1;8
"451184963";39;7.51;1.9;10;3;8
"451186362";24;7.46;1.77;10;4;8
"451186923";10;7.9;1.29;10;5;8
"451188454";24;8.08;1.61;10;3;8
"451188462";24;7.42;1.95;10;4;8
"451188489";18;7.5;2.53;10;2;8
"451190491";25;8.68;1.65;10;4;9
"451190521";20;8.05;1.99;10;2;8
"451190548";25;7.96;1.97;10;2;8
"451190556";18;8.33;1.53;10;5;8.5
"451190564";20;8.55;1.19;10;6;8
"451190572";19;8.53;1.47;10;5;9
"451191013";20;6.5;2.33;10;2;7
"451191137";14;8.07;2.79;10;1;9
"451191145";28;8.25;1.86;10;3;9
"451191153";15;8.33;1.5;10;5;8
"451196716";9;7.78;1.48;10;5;8
"451197399";15;8.07;1.44;10;5;8
"451197747";14;7.29;1.49;10;5;7
"451202341";29;7.55;1.72;10;3;8
"451202503";11;8;1.48;10;6;7
"451203593";12;8.17;1.95;10;4;9
"451203771";28;7.79;1.73;10;5;7.5
"451203895";25;6.12;1.67;9;1;6
"451204530";18;7.22;2.46;10;3;7.5
"451204891";11;7.82;1.66;10;5;8
"451205421";19;7.53;1.95;10;4;8
"451206525";23;7.87;1.82;10;2;8
"451206673";12;8.25;1.14;10;6;8
"451207521";14;7.07;2.62;10;1;7.5
"451208765";22;7.59;1.87;10;5;8
"451209907";22;7.68;1.62;10;4;8
"451210743";11;8.36;0.92;10;7;8
"451403703";12;7.25;2.09;10;4;7
"451409973";16;7.38;1.36;10;5;7.5
"451410947";10;7.5;2.01;10;5;7.5
"451457811";11;8.09;1.14;10;6;8
"451523377";11;8.36;1.36;10;6;8
"451524934";58;8.64;1.19;10;6;9
"451526341";53;8.13;1.65;10;4;8
"452260116";28;7.25;1.94;10;4;8
"452262143";15;8.73;1.79;10;5;10
"452264464";41;7.73;2.39;10;1;8
"452266564";18;7.06;2.67;10;1;8
"452268060";20;7.6;1.35;10;4;8
"452269571";32;8.22;1.48;10;4;8
"452277337";12;6.92;1.31;9;5;7
"452278902";12;7.83;2.82;10;1;9
"452279178";18;8.39;2;10;5;9.5
"452280621";26;7.31;2.41;10;1;8
"452281032";12;8.83;0.94;10;7;9
"452281679";9;7.78;1.3;10;6;7
"452281725";9;8.22;1.3;10;6;8
"452281784";15;6.6;2.03;10;3;6
"452281881";16;8;1.32;10;6;8
"452281903";20;7.7;2.43;10;2;8
"452282152";132;7.94;1.48;10;4;8
"452282195";26;7.38;1.75;10;5;7
"452282829";67;6.9;1.97;10;2;8
"452283205";31;7.23;1.67;10;4;8
"452283442";18;8.17;1.1;10;7;8
"452284295";11;7.55;1.69;10;4;7
"452284449";33;7.67;1.36;10;5;8
"452284937";11;8;1.73;10;5;8
"515087122";14;7.29;1.54;10;4;7.5
"515090174";11;7.73;1.27;10;5;8
"515093203";14;7;1.11;9;5;7
"515093556";17;6.76;1.95;10;4;7
"515095826";18;7;1.81;9;1;8
"515102636";16;8.5;1.75;10;5;9
"515102652";13;6.38;1.61;8;3;7
"515114693";19;8.32;1.34;10;5;8
"515118559";11;7.18;2.23;10;4;7
"515118656";13;7.62;1.04;10;6;7
"515119784";16;7.62;1.02;9;5;8
"515120006";15;7.8;1.37;10;5;8
"515120618";22;7.91;1.74;10;5;8
"515120898";13;8.54;1.45;10;5;9
"515121843";22;8;1.51;10;5;8.5
"515122491";15;7.13;1.6;10;5;7
"515122734";25;8.52;1.36;10;5;9
"515124214";19;7.74;1.85;10;5;8
"515124893";8;7.75;1.67;10;5;8
"515126772";31;8;1.71;10;5;8
"515127221";15;7.73;1.71;10;5;8
"515127396";14;7.21;1.63;10;5;7.5
"515127833";16;7.31;1.66;10;4;7.5
"515128546";42;8.07;1.55;10;5;8
"515128554";40;7.92;1.89;10;5;8.5
"515129941";13;6.23;1.92;10;4;5
"515130044";10;7.3;0.95;9;6;7
"515130389";35;7.51;1.56;10;5;8
"515130966";16;7.5;1.26;9;5;7.5
"515131083";14;8;1.18;10;6;8
"515131229";60;8.23;1.82;10;1;9
"515132020";43;7.77;2;10;3;8
"515132136";10;6.7;1.57;9;4;6.5
"515132187";26;7.35;1.9;10;3;7
"515132268";15;7.2;1.82;10;5;7
"515133302";19;7.16;1.89;10;3;7
"515133639";15;7.53;1.6;10;5;8
"515133876";18;8;1.78;10;5;8
"515133973";31;7.97;1.45;10;5;8
"515134279";11;7.82;1.25;9;5;8
"515134384";13;6.85;1.21;8;4;7
"515135062";30;7.8;1.35;10;5;8
"515135739";17;8.41;1.42;10;6;8
"515136379";27;7.63;1.82;10;4;8
"515136530";32;8.47;1.78;10;5;9
"515137111";16;7.44;2.39;10;1;8
"517122707";18;7.89;2.3;10;2;9
"517149257";13;8.77;1.42;10;5;9
"525941908";18;7.5;1.58;10;5;7.5
"525945725";10;7.7;2.26;10;3;8
"525945938";12;7.33;1.56;10;5;7
"525946233";17;8.06;1.85;10;5;8
"525946829";22;7.59;1.5;10;5;8
"525947299";20;8.15;1.87;10;4;9
"525947647";33;8.61;1.32;10;5;9
"552143774";13;7.62;1.12;10;6;8
"552996009";19;7.68;1.83;10;4;8
"552996181";16;7.25;1.39;10;5;7
"552998001";15;7.4;1.3;9;5;8
"552998486";19;7.58;1.98;10;2;8
"552999458";8;8;1.41;10;5;8
"552999954";6;7;1.9;10;5;7
"553096060";18;7.17;1.42;10;5;7
"553099558";11;7.55;2.07;10;5;7
"553106643";13;8.15;1.95;10;5;9
"553208845";25;8.72;1.17;10;7;9
"553210092";19;7.26;1.76;10;3;7
"553210793";17;8.41;1.58;10;4;8
"553211404";25;8.44;1.42;10;6;8
"553212451";15;8.2;1.74;10;5;9
"553212478";17;8.06;1.6;10;5;8
"553212583";12;7.67;2.64;10;1;8
"553213105";22;8.55;1.77;10;4;9
"553213148";22;9.23;1.45;10;5;10
"553213172";14;9;1.62;10;5;10
"553213180";12;9.25;1.22;10;6;10
"553213695";6;8.33;2.73;10;3;9.5
"553250426";52;8.37;1.57;10;3;8
"553250531";40;8.15;1.7;10;5;9
"553258001";17;8.29;1.31;10;5;8
"553260111";38;7.5;2.55;10;2;8
"553262505";23;7.26;1.71;10;3;8
"553263226";16;7.75;1.95;10;5;7.5
"553265741";24;7.38;2.04;10;4;7
"553268449";15;8.13;1.64;10;4;8
"553268880";43;7.91;1.73;10;5;8
"553271636";37;8;1.2;10;5;8
"553272535";39;8.59;1.57;10;5;9
"553272837";14;7;2;10;4;7
"553273914";31;8.42;1.31;10;6;8
"553274295";30;8.67;1.81;10;3;9
"553274325";12;9.33;0.98;10;7;10
"553274503";23;8.48;1.47;10;5;9
"553275976";28;7.29;1.72;10;2;7
"553277472";35;7.51;1.82;10;3;8
"553277537";11;8.55;1.63;10;5;9
"553278223";16;8.81;1.22;10;6;9
"553278274";16;7.69;1.85;10;5;7.5
"553278355";20;8;1.95;10;2;8
"553278592";17;7.94;1.78;10;5;8
"553279378";38;8.45;1.25;10;6;8.5
"553279556";31;8.16;1.04;10;6;8
"553279912";53;7.57;2;10;1;8
"553280341";54;7.8;1.29;10;4;8
"553280368";34;8.38;1.04;10;7;8
"553280414";28;7.54;1.79;10;3;8
"553280589";12;8.42;1.51;10;5;8
"553280945";21;8.24;1.64;10;5;8
"553282476";13;7.46;1.66;10;5;8
"553283685";12;8;1.54;10;6;8.5
"553284789";31;7.81;1.51;10;4;8
"553287346";10;7.1;1.29;9;5;7
"553287737";14;8.07;1.9;10;5;8
"553289411";29;7.55;1.97;10;3;8
"553289691";19;7.79;1.47;10;5;8
"553292722";21;7.05;1.66;10;4;7
"553293354";12;8.25;2.83;10;2;9.5
"553294385";13;7.92;2.06;10;3;9
"553295772";13;7.69;1.55;10;5;8
